index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
1000;false;false;5;16;983;2;0;73313;3657617;36277;232793;
0;false;false;0;0;1;0;0;0;3693894;0;306106;
2000;false;false;7;32;1963;6;0;99582;3665965;27929;206524;
3000;false;false;9;59;2933;9;0;120454;3632457;61437;185652;
4000;false;false;10;192;3675;134;0;123678;3629755;64139;182428;
5000;false;false;11;322;4423;256;0;125498;3628244;65650;180608;
6000;false;false;11;444;5171;386;0;137159;3616352;77542;168947;
7000;false;false;11;524;6026;451;0;137159;3616352;77542;168947;
8000;false;false;14;591;6905;505;0;169323;3619555;74339;136783;
9000;false;false;14;726;7769;506;0;177565;3609823;84071;128541;
10000;false;false;15;861;8558;582;0;181450;3616369;77525;124656;
12000;false;false;15;1192;10186;623;0;182936;3614705;79189;123170;
16000;false;false;15;1908;13335;758;0;191158;3604973;88921;114948;
11000;false;false;15;980;9439;582;0;181450;3616369;77525;124656;
13000;false;false;15;1319;11058;624;0;182936;3614705;79189;123170;
14000;false;false;15;1592;11701;708;0;182936;3614705;79189;123170;
18000;false;false;15;2215;14947;839;0;191158;3604973;88921;114948;
17000;false;false;15;2054;14185;762;0;191158;3604973;88921;114948;
15000;false;false;15;1758;12535;708;0;182936;3614705;79189;123170;
20000;false;false;18;2662;14783;2556;0;283544;2764006;929888;22562;
19000;false;false;15;2353;15808;840;0;191158;3604973;88921;114948;
21000;false;false;18;2753;15442;2806;0;283544;2764006;929888;22562;
25000;false;false;20;4208;16887;3906;0;286294;2745332;948562;19812;
24000;false;false;19;3735;16558;3708;0;284940;2760318;933576;21166;
23000;false;false;19;3439;16252;3310;0;284940;2760318;933576;21166;
22000;false;false;18;3127;15846;3028;0;283560;2775466;918428;22546;
28000;false;false;21;4993;18392;4616;0;287706;2730042;963852;18400;
27000;false;false;20;4735;17906;4360;0;286301;2750472;943422;19805;
26000;false;false;20;4369;17478;4154;0;286294;2745332;948562;19812;
29000;false;false;21;5288;18671;5042;0;287706;2730042;963852;18400;
32000;false;false;23;6124;20161;5716;0;301085;2720064;973830;5021;
31000;false;false;23;5793;19708;5500;0;301085;2720064;973830;5021;
30000;false;false;23;5694;19053;5254;0;301085;2720064;973830;5021;
37000;false;false;23;6598;24671;5732;0;301085;2720064;973830;5021;
33000;false;false;23;6132;21151;5718;0;301085;2720064;973830;5021;
34000;false;false;23;6215;22068;5718;0;301085;2720064;973830;5021;
36000;false;false;23;6481;23796;5724;0;301085;2720064;973830;5021;
35000;false;false;23;6334;22943;5724;0;301085;2720064;973830;5021;
38000;false;false;23;6658;25609;5734;0;301085;2720064;973830;5021;
39000;false;false;23;6677;26330;5994;0;301085;2720064;973830;5021;
40000;false;false;23;6694;26811;6496;0;301085;2720064;973830;5021;
42000;false;false;23;6720;28279;7002;0;301085;2720064;973830;5021;
41000;false;false;23;6710;27539;6752;0;301085;2720064;973830;5021;
46000;false;false;23;6766;30968;8267;0;301085;2720064;973830;5021;
43000;false;false;23;6730;29015;7256;0;301085;2720064;973830;5021;
45000;false;false;23;6752;30235;8014;0;301085;2720064;973830;5021;
44000;false;false;23;6741;29747;7513;0;301085;2720064;973830;5021;
49000;false;false;23;6838;33128;9035;0;301085;2720064;973830;5021;
48000;false;false;23;6813;32415;8773;0;301085;2720064;973830;5021;
47000;false;false;23;6790;31697;8514;0;301085;2720064;973830;5021;
50000;false;false;23;6852;33614;9535;0;301085;2720064;973830;5021;
51000;false;false;23;6864;34347;9790;0;301085;2720064;973830;5021;
54000;false;false;23;6923;36492;10586;0;301445;2706550;987344;4661;
53000;false;false;23;6895;35780;10326;0;301445;2706550;987344;4661;
52000;false;false;23;6880;35077;10044;0;301085;2720064;973830;5021;
56000;false;false;23;6952;37890;11159;0;301445;2706550;987344;4661;
57000;false;false;23;6976;38659;11366;0;301445;2706550;987344;4661;
61000;false;false;23;7028;41339;12634;0;301445;2706550;987344;4661;
58000;false;false;23;6978;39152;11871;0;301445;2706550;987344;4661;
59000;false;false;23;6988;39883;12130;0;301445;2706550;987344;4661;
55000;false;false;23;6938;37156;10907;0;301445;2706550;987344;4661;
62000;false;false;23;7046;42055;12900;0;301445;2706550;987344;4661;
60000;false;false;23;7010;40834;12157;0;301445;2706550;987344;4661;
63000;false;false;23;7068;42787;13146;0;301445;2715088;978806;4661;
64000;false;false;23;7091;43508;13402;0;301445;2715088;978806;4661;
65000;false;false;23;7122;44223;13656;0;301445;2715088;978806;4661;
66000;false;false;23;7136;44957;13908;0;301445;2715088;978806;4661;
69000;false;false;23;7188;46926;14887;0;301445;2715088;978806;4661;
67000;false;false;23;7155;45681;14165;0;301445;2715088;978806;4661;
75000;false;false;23;7297;51246;16458;0;301445;2715088;978806;4661;
72000;false;false;23;7240;49063;15698;0;301445;2715088;978806;4661;
68000;false;false;23;7170;46398;14433;0;301445;2715088;978806;4661;
70000;false;false;23;7222;47646;15133;0;301445;2715088;978806;4661;
73000;false;false;23;7250;49795;15956;0;301445;2715088;978806;4661;
71000;false;false;23;7234;48573;15194;0;301445;2715088;978806;4661;
74000;false;false;23;7275;50606;16120;0;301445;2715088;978806;4661;
76000;false;false;23;7326;51953;16722;0;301445;2715088;978806;4661;
77000;false;false;23;7358;52677;16966;0;301445;2715088;978806;4661;
78000;false;false;23;7373;53404;17224;0;301445;2715088;978806;4661;
79000;false;false;23;7393;54125;17483;0;301445;2715088;978806;4661;
83000;false;false;23;7468;56780;18753;0;301445;2715088;978806;4661;
82000;false;false;23;7456;56291;18254;0;301445;2715088;978806;4661;
80000;false;false;23;7410;54746;17845;0;301445;2715088;978806;4661;
85000;false;false;23;7519;58392;19090;0;301445;2715088;978806;4661;
84000;false;false;23;7499;57491;19011;0;301445;2715088;978806;4661;
81000;false;false;23;7436;55472;18093;0;301445;2715088;978806;4661;
90000;false;false;23;7598;61878;20525;0;301445;2715088;978806;4661;
86000;false;false;23;7538;58953;19510;0;301445;2715088;978806;4661;
87000;false;false;23;7556;59683;19762;0;301445;2715088;978806;4661;
88000;false;false;23;7562;60425;20014;0;301445;2715088;978806;4661;
89000;false;false;23;7576;61157;20268;0;301445;2715088;978806;4661;
95000;false;false;23;7694;65258;22049;0;301445;2715088;978806;4661;
93000;false;false;23;7668;64041;21292;0;301445;2715088;978806;4661;
92000;false;false;23;7632;63308;21061;0;301445;2715088;978806;4661;
91000;false;false;23;7610;62580;20811;0;301445;2715088;978806;4661;
96000;false;false;23;7714;66229;22058;0;301445;2715088;978806;4661;
98000;false;false;23;7746;67439;22816;0;301445;2715088;978806;4661;
94000;false;false;23;7672;64533;21796;0;301445;2715088;978806;4661;
102000;false;false;23;7942;69923;24136;0;301445;2715088;978806;4661;
103000;false;false;23;7959;70598;24444;0;301445;2715088;978806;4661;
100000;false;false;23;7774;68901;23326;0;301445;2715088;978806;4661;
104000;false;false;23;7982;71238;24781;0;301445;2715088;978806;4661;
101000;false;false;23;7792;69393;23816;0;301445;2715088;978806;4661;
97000;false;false;23;7722;66717;22562;0;301445;2715088;978806;4661;
108000;false;false;23;8277;73281;26443;0;301445;2715088;978806;4661;
105000;false;false;23;8098;71660;25243;0;301445;2715088;978806;4661;
110000;false;false;24;8452;74592;26957;0;305945;2710844;983050;161;
115000;false;false;24;8670;77353;28978;0;305945;2710844;983050;161;
99000;false;false;23;7758;68206;23037;0;301445;2715088;978806;4661;
125000;false;false;25;10029;84434;30538;0;305945;2693270;1000624;161;
109000;false;false;23;8305;73992;26704;0;301445;2715088;978806;4661;
118000;false;true;25;8942;78836;30223;0;305945;2693270;1000624;161;
107000;false;false;23;8212;72876;25913;0;301445;2715088;978806;4661;
106000;false;true;23;8112;72104;25785;0;301445;2715088;978806;4661;
111000;false;false;24;8476;75194;27331;0;305945;2710844;983050;161;
133000;false;false;26;11497;90192;31312;0;305947;2693270;1000624;159;
113000;false;false;24;8508;76298;28195;0;305945;2710844;983050;161;
116000;false;false;24;8788;78101;29112;0;305945;2710844;983050;161;
112000;false;false;24;8488;75818;27695;0;305945;2710844;983050;161;
114000;false;false;24;8536;76623;28842;0;305945;2710844;983050;161;
119000;false;false;25;9070;79609;30322;0;305945;2693270;1000624;161;
121000;false;true;25;9308;81271;30422;0;305945;2693270;1000624;161;
117000;false;false;24;8916;78851;29234;0;305945;2710844;983050;161;
134000;false;false;26;11873;90602;31526;0;305947;2693270;1000624;159;
144000;false;false;26;14552;95445;34004;0;305947;2693270;1000624;159;
124000;false;false;25;9776;83759;30466;0;305945;2693270;1000624;161;
120000;false;false;25;9149;80530;30322;0;305945;2693270;1000624;161;
150000;false;false;26;15097;100620;34284;0;305947;2693270;1000624;159;
123000;false;false;25;9596;82939;30466;0;305945;2693270;1000624;161;
136000;false;true;26;12622;91247;32132;0;305947;2693270;1000624;159;
122000;false;false;25;9383;82196;30422;0;305945;2693270;1000624;161;
126000;false;false;25;10196;85265;30540;0;305945;2693270;1000624;161;
155000;false;false;26;15203;103996;35802;0;305947;2693270;1000624;159;
137000;false;false;26;12726;91825;32450;0;305947;2693270;1000624;159;
131000;false;false;26;11083;89088;30830;0;305947;2693270;1000624;159;
142000;false;true;26;14168;94053;33780;0;305947;2693270;1000624;159;
130000;false;false;26;10756;88601;30644;0;305947;2693270;1000624;159;
148000;false;true;26;15006;98979;34016;0;305947;2693270;1000624;159;
127000;false;true;25;10354;86073;30574;0;305945;2693270;1000624;161;
149000;false;true;26;15081;99901;34019;0;305947;2693270;1000624;159;
132000;false;false;26;11110;89783;31108;0;305947;2693270;1000624;159;
140000;false;false;26;13659;93111;33231;0;305947;2693270;1000624;159;
157000;false;false;26;15231;105212;36558;0;305947;2693270;1000624;159;
128000;false;true;25;10460;86967;30574;0;305945;2693270;1000624;161;
135000;false;false;26;12181;90895;31925;0;305947;2693270;1000624;159;
146000;false;false;26;14738;97255;34008;0;305947;2693270;1000624;159;
139000;false;true;26;13386;92754;32861;0;305947;2693270;1000624;159;
143000;false;true;26;14536;94465;34000;0;305947;2693270;1000624;159;
153000;false;false;26;15168;102541;35292;0;305947;2693270;1000624;159;
147000;false;true;26;14841;98152;34008;0;305947;2693270;1000624;159;
138000;false;true;26;13098;92253;32650;0;305947;2693270;1000624;159;
151000;false;false;26;15120;101097;34784;0;305947;2693270;1000624;159;
156000;false;false;26;15210;104487;36304;0;305947;2693270;1000624;159;
145000;false;false;26;14579;96418;34004;0;305947;2693270;1000624;159;
129000;false;false;25;10628;87729;30644;0;305945;2693270;1000624;161;
141000;false;false;26;14040;93525;33436;0;305947;2693270;1000624;159;
158000;false;false;26;15258;105932;36811;0;305947;2693270;1000624;159;
152000;false;false;26;15143;101816;35042;0;305947;2693270;1000624;159;
154000;false;true;26;15188;103267;35546;0;305947;2693270;1000624;159;
163000;false;true;26;15363;109348;38290;0;305947;2693270;1000624;159;
161000;false;true;26;15316;107888;37797;0;305947;2693270;1000624;159;
165000;false;true;26;15398;110759;38844;0;305947;2693270;1000624;159;
166000;false;true;26;15410;111487;39104;0;305947;2693270;1000624;159;
183000;false;false;26;15814;123237;43950;0;305947;2693270;1000624;159;
159000;false;false;26;15266;106665;37070;0;305947;2693270;1000624;159;
169000;false;true;26;15470;113502;40029;0;305947;2693270;1000624;159;
162000;false;false;26;15338;108612;38051;0;305947;2693270;1000624;159;
171000;false;false;26;15525;115095;40381;0;305947;2693270;1000624;159;
160000;false;true;26;15290;107383;37328;0;305947;2693270;1000624;159;
164000;false;false;26;15383;110032;38586;0;305947;2693270;1000624;159;
175000;false;true;26;15632;117721;41648;0;305947;2693270;1000624;159;
168000;false;true;26;15464;112920;39617;0;305947;2693270;1000624;159;
172000;false;true;26;15542;115576;40883;0;305947;2693270;1000624;159;
167000;false;true;26;15434;112206;39361;0;305947;2693270;1000624;159;
173000;false;true;26;15577;116284;41140;0;305947;2693270;1000624;159;
182000;false;false;26;15804;122745;43452;0;305947;2693270;1000624;159;
174000;false;true;26;15608;117132;41261;0;305947;2693270;1000624;159;
170000;false;false;26;15500;114222;40279;0;305947;2693270;1000624;159;
181000;false;false;26;15784;121956;43261;0;305947;2693270;1000624;159;
178000;false;false;26;15720;119862;42419;0;305947;2693270;1000624;159;
177000;false;false;26;15694;119147;42160;0;305947;2693270;1000624;159;
180000;false;false;26;15750;121242;43009;0;305947;2693270;1000624;159;
176000;false;true;26;15664;118427;41910;0;305947;2693270;1000624;159;
188000;false;true;26;15906;126877;45218;0;305947;2693270;1000624;159;
184000;false;true;26;15843;123952;44206;0;305947;2693270;1000624;159;
179000;false;true;26;15738;120582;42681;0;305947;2693270;1000624;159;
185000;false;false;26;15862;124898;44241;0;305947;2693270;1000624;159;
186000;false;false;26;15874;125415;44712;0;305947;2693270;1000624;159;
187000;false;false;26;15890;126145;44966;0;305947;2693270;1000624;159;
190000;false;false;26;15956;128313;45732;0;305947;2693270;1000624;159;
189000;false;false;26;15928;127599;45474;0;305947;2693270;1000624;159;
191000;false;true;26;15970;129047;45984;0;305947;2693270;1000624;159;
198000;false;true;26;16102;133873;48026;0;305947;2693270;1000624;159;
193000;false;true;26;16011;130490;46500;0;305947;2693270;1000624;159;
195000;false;true;26;16046;131734;47221;0;305947;2693270;1000624;159;
196000;false;true;26;16069;132655;47277;0;305947;2693270;1000624;159;
194000;false;false;26;16018;131020;46963;0;305947;2693270;1000624;159;
192000;false;false;26;15992;129767;46242;0;305947;2693270;1000624;159;
199000;false;true;26;16120;134680;48201;0;305947;2693270;1000624;159;
197000;false;true;26;16095;133141;47765;0;305947;2693270;1000624;159;
