index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
0;false;false;0;0;1;0;0;0;3693894;0;306106;
1000;false;false;6;16;973;12;0;51810;3599185;94709;254296;
2000;false;false;10;32;1925;44;0;86054;3555831;138063;220052;
5000;false;false;15;322;4369;310;0;116772;3506403;187491;189334;
3000;false;false;13;59;2879;63;0;107272;3515109;178785;198834;
4000;false;false;14;192;3621;188;0;111986;3510743;183151;194120;
6000;false;false;16;444;5117;440;0;128314;3494360;199534;177792;
8000;false;false;19;591;6651;759;0;153649;3495317;198577;152457;
7000;false;false;16;524;5972;505;0;128314;3494360;199534;177792;
9000;false;false;21;726;7223;1052;0;158699;3482821;211073;147407;
10000;false;false;23;861;7720;1420;0;166446;3457137;236757;139660;
13000;false;false;25;1319;9197;2485;0;170655;3434793;259101;135451;
11000;false;false;24;980;8282;1739;0;168938;3450849;243045;137168;
12000;false;false;25;1192;8570;2239;0;170618;3443469;250425;135488;
14000;false;false;26;1592;9497;2912;0;173726;3412597;281297;132380;
16000;false;false;27;1908;10397;3696;0;175217;3405027;288867;130889;
17000;false;false;27;2054;11009;3938;0;175217;3405027;288867;130889;
15000;false;false;26;1758;10099;3144;0;173726;3412597;281297;132380;
19000;false;false;28;2353;11917;4731;0;186190;3415311;278583;119916;
18000;false;false;28;2215;11303;4483;0;186190;3415311;278583;119916;
20000;false;false;31;2662;10823;6516;0;279730;2569880;1124014;26376;
22000;false;false;31;3127;11870;7004;0;279664;2580688;1113206;26442;
21000;false;false;31;2753;11472;6776;0;279730;2569880;1124014;26376;
23000;false;false;32;3439;12268;7294;0;281017;2566074;1127820;25089;
26000;false;false;33;4369;13476;8156;0;282291;2551700;1142194;23815;
24000;false;false;32;3735;12574;7692;0;281017;2566074;1127820;25089;
25000;false;false;33;4208;12895;7898;0;282291;2551700;1142194;23815;
28000;false;false;39;4993;14330;8678;0;296121;2446834;1247060;9985;
29000;false;false;34;5288;14486;9227;0;285226;2529954;1163940;20880;
27000;false;false;33;4735;13902;8364;0;282328;2556686;1137208;23778;
30000;false;false;36;5694;14859;9448;0;298441;2515342;1178552;7665;
31000;false;false;36;5793;15508;9700;0;298441;2515342;1178552;7665;
33000;false;false;36;6132;16933;9936;0;298441;2515342;1178552;7665;
34000;false;false;36;6215;17850;9936;0;298441;2515342;1178552;7665;
32000;false;false;36;6124;15961;9916;0;298441;2515342;1178552;7665;
35000;false;false;36;6334;18713;9954;0;298441;2515342;1178552;7665;
37000;false;false;36;6598;20431;9972;0;298441;2515342;1178552;7665;
38000;false;false;36;6658;21361;9982;0;298441;2515342;1178552;7665;
39000;false;false;36;6677;22049;10275;0;298441;2515342;1178552;7665;
36000;false;false;36;6481;19566;9954;0;298441;2515342;1178552;7665;
42000;false;false;36;6720;23767;11514;0;299717;2503332;1190562;6389;
41000;false;false;36;6710;23037;11254;0;299717;2503332;1190562;6389;
44000;false;false;36;6741;24994;12266;0;301131;2492796;1201098;4975;
40000;false;false;36;6694;22324;10983;0;299717;2503332;1190562;6389;
47000;false;false;36;6790;26883;13328;0;301131;2492796;1201098;4975;
45000;false;false;36;6752;25470;12779;0;301131;2492796;1201098;4975;
43000;false;false;36;6730;24281;11990;0;301131;2492796;1201098;4975;
49000;false;false;36;6838;28260;13903;0;301131;2492796;1201098;4975;
48000;false;false;36;6813;27570;13618;0;301131;2492796;1201098;4975;
46000;false;false;36;6766;26172;13063;0;301131;2492796;1201098;4975;
