index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
76;false;false;0;0;77;0;0;0;3693894;0;306106;
38;false;false;0;0;39;0;0;0;3693894;0;306106;
210;false;false;1;1;210;0;0;19170;3693894;0;286936;
26;false;false;0;0;27;0;0;0;3693894;0;306106;
40;false;false;0;0;41;0;0;0;3693894;0;306106;
328;false;false;1;2;327;0;0;19170;3693894;0;286936;
14;false;false;0;0;15;0;0;0;3693894;0;306106;
100;false;false;0;0;101;0;0;0;3693894;0;306106;
236;false;false;1;1;236;0;0;19170;3693894;0;286936;
0;false;false;0;0;1;0;0;0;3693894;0;306106;
12;false;false;0;0;13;0;0;0;3693894;0;306106;
110;false;false;0;0;111;0;0;0;3693894;0;306106;
120;false;false;0;0;121;0;0;0;3693894;0;306106;
140;false;false;1;1;140;0;0;19170;3693894;0;286936;
202;false;false;1;1;202;0;0;19170;3693894;0;286936;
206;false;false;1;1;206;0;0;19170;3693894;0;286936;
150;false;false;1;1;150;0;0;19170;3693894;0;286936;
290;false;false;1;2;289;0;0;19170;3693894;0;286936;
166;false;false;1;1;166;0;0;19170;3693894;0;286936;
184;false;false;1;1;184;0;0;19170;3693894;0;286936;
196;false;false;1;1;196;0;0;19170;3693894;0;286936;
10;false;false;0;0;11;0;0;0;3693894;0;306106;
6;false;false;0;0;7;0;0;0;3693894;0;306106;
30;false;false;0;0;31;0;0;0;3693894;0;306106;
122;false;false;0;0;123;0;0;0;3693894;0;306106;
96;false;false;0;0;97;0;0;0;3693894;0;306106;
8;false;false;0;0;9;0;0;0;3693894;0;306106;
124;false;false;0;0;125;0;0;0;3693894;0;306106;
22;false;false;0;0;23;0;0;0;3693894;0;306106;
42;false;false;0;0;43;0;0;0;3693894;0;306106;
4;false;false;0;0;5;0;0;0;3693894;0;306106;
34;false;false;0;0;35;0;0;0;3693894;0;306106;
44;false;false;0;0;45;0;0;0;3693894;0;306106;
46;false;false;0;0;47;0;0;0;3693894;0;306106;
54;false;false;0;0;55;0;0;0;3693894;0;306106;
78;false;false;0;0;79;0;0;0;3693894;0;306106;
88;false;false;0;0;89;0;0;0;3693894;0;306106;
94;false;false;0;0;95;0;0;0;3693894;0;306106;
28;false;false;0;0;29;0;0;0;3693894;0;306106;
16;false;false;0;0;17;0;0;0;3693894;0;306106;
18;false;false;0;0;19;0;0;0;3693894;0;306106;
114;false;false;0;0;115;0;0;0;3693894;0;306106;
2;false;false;0;0;3;0;0;0;3693894;0;306106;
36;false;false;0;0;37;0;0;0;3693894;0;306106;
224;false;false;1;1;224;0;0;19170;3693894;0;286936;
92;false;false;0;0;93;0;0;0;3693894;0;306106;
106;false;false;0;0;107;0;0;0;3693894;0;306106;
58;false;false;0;0;59;0;0;0;3693894;0;306106;
86;false;false;0;0;87;0;0;0;3693894;0;306106;
48;false;false;0;0;49;0;0;0;3693894;0;306106;
68;false;false;0;0;69;0;0;0;3693894;0;306106;
82;false;false;0;0;83;0;0;0;3693894;0;306106;
178;false;false;1;1;178;0;0;19170;3693894;0;286936;
200;false;false;1;1;200;0;0;19170;3693894;0;286936;
112;false;false;0;0;113;0;0;0;3693894;0;306106;
248;false;false;1;1;248;0;0;19170;3693894;0;286936;
56;false;false;0;0;57;0;0;0;3693894;0;306106;
134;false;false;1;1;134;0;0;19170;3693894;0;286936;
136;false;false;1;1;136;0;0;19170;3693894;0;286936;
64;false;false;0;0;65;0;0;0;3693894;0;306106;
84;false;false;0;0;85;0;0;0;3693894;0;306106;
50;false;false;0;0;51;0;0;0;3693894;0;306106;
74;false;false;0;0;75;0;0;0;3693894;0;306106;
118;false;false;0;0;119;0;0;0;3693894;0;306106;
52;false;false;0;0;53;0;0;0;3693894;0;306106;
80;false;false;0;0;81;0;0;0;3693894;0;306106;
102;false;false;0;0;103;0;0;0;3693894;0;306106;
108;false;false;0;0;109;0;0;0;3693894;0;306106;
220;false;false;1;1;220;0;0;19170;3693894;0;286936;
160;false;false;1;1;160;0;0;19170;3693894;0;286936;
