index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
1000;false;false;6;16;973;12;0;51810;3599185;94709;254296;
2000;false;false;10;32;1921;48;0;86405;3543663;150231;219701;
0;false;false;0;0;1;0;0;0;3693894;0;306106;
5000;false;false;15;322;4361;318;0;117010;3480739;213155;189096;
6000;false;false;16;444;5109;448;0;128512;3468756;225138;177594;
4000;false;false;14;192;3613;196;0;112222;3485079;208815;193884;
8000;false;false;19;591;6633;777;0;142596;3425118;268776;163510;
3000;false;false;13;59;2871;71;0;107508;3489445;204449;198598;
7000;false;false;16;524;5964;513;0;128512;3468756;225138;177594;
11000;false;false;24;980;8262;1759;0;157825;3381014;312880;148281;
9000;false;false;21;726;7203;1072;0;147646;3412622;281272;158460;
10000;false;false;23;861;7700;1440;0;155333;3387302;306592;150773;
16000;false;false;27;1908;10377;3716;0;163978;3359990;333904;142128;
13000;false;false;25;1319;9177;2505;0;159505;3373634;320260;146601;
12000;false;false;25;1192;8550;2259;0;159505;3373634;320260;146601;
18000;false;false;28;2215;11283;4503;0;174867;3361276;332618;131239;
14000;false;false;26;1592;9477;2932;0;162486;3367560;326334;143620;
17000;false;false;27;2054;10989;3958;0;163978;3359990;333904;142128;
15000;false;false;26;1758;10079;3164;0;162486;3367560;326334;143620;
20000;false;false;31;2662;10801;6538;0;268549;2525790;1168104;37557;
19000;false;false;28;2353;11897;4751;0;174867;3361276;332618;131239;
22000;false;false;31;3127;11728;7146;0;268549;2525790;1168104;37557;
21000;false;false;31;2753;11446;6802;0;268563;2525478;1168416;37543;
24000;false;false;32;3735;12287;7979;0;269876;2511752;1182142;36230;
23000;false;false;32;3439;12008;7554;0;269876;2511752;1182142;36230;
25000;false;false;35;4208;12377;8416;0;274457;2490146;1203748;31649;
26000;false;false;34;4369;12826;8806;0;282481;2495732;1198162;23625;
27000;false;false;34;4735;13142;9124;0;282484;2495732;1198162;23622;
32000;false;false;37;6124;14829;11048;0;286528;2453490;1240404;19578;
29000;false;false;35;5288;13726;9987;0;285267;2469800;1224094;20839;
28000;false;false;40;4993;13576;9432;0;296209;2365056;1328838;9897;
31000;false;false;36;5793;14500;10708;0;286476;2455392;1238502;19630;
30000;false;false;36;5694;13983;10324;0;286476;2455392;1238502;19630;
33000;false;false;38;6132;15797;11072;0;298410;2434900;1258994;7696;
34000;false;false;39;6215;16564;11222;0;298448;2434200;1259694;7658;
36000;false;false;39;6481;17900;11620;0;298448;2434200;1259694;7658;
35000;false;false;39;6334;17291;11376;0;298448;2434200;1259694;7658;
37000;false;false;39;6598;18603;11800;0;298448;2434200;1259694;7658;
38000;false;false;39;6658;19417;11926;0;298448;2434200;1259694;7658;
39000;false;false;39;6677;20098;12226;0;298448;2434200;1259694;7658;
43000;false;true;39;6730;22335;13936;0;301044;2412710;1281184;5062;
40000;false;false;39;6694;20385;12922;0;299692;2422736;1271158;6414;
42000;false;false;39;6720;21817;13464;0;299692;2422736;1271158;6414;
44000;false;false;39;6741;23037;14223;0;301044;2412710;1281184;5062;
41000;false;false;39;6710;21090;13201;0;299692;2422736;1271158;6414;
45000;false;false;39;6752;23510;14739;0;301044;2412710;1281184;5062;
48000;false;false;39;6813;25580;15608;0;301044;2412710;1281184;5062;
47000;false;false;39;6790;24907;15304;0;301044;2412710;1281184;5062;
55000;false;false;39;6938;30148;17915;0;301402;2407996;1285898;4704;
46000;false;false;39;6766;24204;15031;0;301044;2412710;1281184;5062;
49000;false;false;39;6838;26268;15895;0;301044;2412710;1281184;5062;
52000;false;false;39;6880;28143;16978;0;301044;2412710;1281184;5062;
51000;false;false;39;6864;27439;16698;0;301044;2412710;1281184;5062;
54000;false;false;39;6923;29512;17566;0;301402;2407996;1285898;4704;
56000;false;false;39;6952;30858;18191;0;301402;2407996;1285898;4704;
53000;false;false;39;6895;28826;17280;0;301402;2407996;1285898;4704;
50000;false;false;39;6852;26733;16416;0;301044;2412710;1281184;5062;
65000;false;false;39;7122;36981;20898;0;301402;2407996;1285898;4704;
61000;false;false;39;7028;34234;19739;0;301402;2407996;1285898;4704;
59000;false;false;39;6988;32800;19213;0;301402;2407996;1285898;4704;
66000;false;false;39;7136;37679;21186;0;301402;2407996;1285898;4704;
63000;false;false;39;7068;35607;20326;0;301402;2407996;1285898;4704;
58000;false;false;39;6978;32095;18928;0;301402;2407996;1285898;4704;
62000;false;false;39;7046;34911;20044;0;301404;2403286;1290608;4702;
57000;false;false;39;6976;31605;18420;0;301402;2407996;1285898;4704;
64000;false;false;39;7091;36302;20608;0;301402;2407996;1285898;4704;
60000;false;false;39;7010;33736;19255;0;301402;2407996;1285898;4704;
70000;false;false;39;7222;40266;22513;0;301402;2407996;1285898;4704;
69000;false;false;39;7188;39574;22239;0;301402;2407996;1285898;4704;
67000;false;false;39;7155;38370;21476;0;301402;2407996;1285898;4704;
68000;false;false;39;7170;39052;21779;0;301402;2407996;1285898;4704;
71000;false;false;39;7234;41159;22608;0;301402;2407996;1285898;4704;
