index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
68;false;false;0;0;69;0;0;0;3693894;0;306106;
43;false;false;0;0;44;0;0;0;3693894;0;306106;
31;false;false;0;0;32;0;0;0;3693894;0;306106;
12;false;false;0;0;13;0;0;0;3693894;0;306106;
106;false;false;0;0;107;0;0;0;3693894;0;306106;
17;false;false;0;0;18;0;0;0;3693894;0;306106;
121;false;false;0;0;122;0;0;0;3693894;0;306106;
33;false;false;0;0;34;0;0;0;3693894;0;306106;
39;false;false;0;0;40;0;0;0;3693894;0;306106;
42;false;false;0;0;43;0;0;0;3693894;0;306106;
2;false;false;0;0;3;0;0;0;3693894;0;306106;
11;false;false;0;0;12;0;0;0;3693894;0;306106;
122;false;false;0;0;123;0;0;0;3693894;0;306106;
18;false;false;0;0;19;0;0;0;3693894;0;306106;
108;false;false;0;0;109;0;0;0;3693894;0;306106;
194;false;false;1;1;194;0;0;9485;3678570;15324;296621;
119;false;false;0;0;120;0;0;0;3693894;0;306106;
169;false;false;1;1;169;0;0;9485;3678570;15324;296621;
0;false;false;0;0;1;0;0;0;3693894;0;306106;
71;false;false;0;0;72;0;0;0;3693894;0;306106;
13;false;false;0;0;14;0;0;0;3693894;0;306106;
100;false;false;0;0;101;0;0;0;3693894;0;306106;
64;false;false;0;0;65;0;0;0;3693894;0;306106;
30;false;false;0;0;31;0;0;0;3693894;0;306106;
89;false;false;0;0;90;0;0;0;3693894;0;306106;
4;false;false;0;0;5;0;0;0;3693894;0;306106;
5;false;false;0;0;6;0;0;0;3693894;0;306106;
6;false;false;0;0;7;0;0;0;3693894;0;306106;
19;false;false;0;0;20;0;0;0;3693894;0;306106;
10;false;false;0;0;11;0;0;0;3693894;0;306106;
70;false;false;0;0;71;0;0;0;3693894;0;306106;
87;false;false;0;0;88;0;0;0;3693894;0;306106;
55;false;false;0;0;56;0;0;0;3693894;0;306106;
65;false;false;0;0;66;0;0;0;3693894;0;306106;
116;false;false;0;0;117;0;0;0;3693894;0;306106;
50;false;false;0;0;51;0;0;0;3693894;0;306106;
25;false;false;0;0;26;0;0;0;3693894;0;306106;
1;false;false;0;0;2;0;0;0;3693894;0;306106;
114;false;false;0;0;115;0;0;0;3693894;0;306106;
84;false;false;0;0;85;0;0;0;3693894;0;306106;
99;false;false;0;0;100;0;0;0;3693894;0;306106;
120;false;false;0;0;121;0;0;0;3693894;0;306106;
112;false;false;0;0;113;0;0;0;3693894;0;306106;
40;false;false;0;0;41;0;0;0;3693894;0;306106;
36;false;false;0;0;37;0;0;0;3693894;0;306106;
37;false;false;0;0;38;0;0;0;3693894;0;306106;
38;false;false;0;0;39;0;0;0;3693894;0;306106;
23;false;false;0;0;24;0;0;0;3693894;0;306106;
24;false;false;0;0;25;0;0;0;3693894;0;306106;
157;false;false;1;1;157;0;0;9485;3678570;15324;296621;
86;false;false;0;0;87;0;0;0;3693894;0;306106;
26;false;false;0;0;27;0;0;0;3693894;0;306106;
75;false;false;0;0;76;0;0;0;3693894;0;306106;
58;false;false;0;0;59;0;0;0;3693894;0;306106;
41;false;false;0;0;42;0;0;0;3693894;0;306106;
27;false;false;0;0;28;0;0;0;3693894;0;306106;
16;false;false;0;0;17;0;0;0;3693894;0;306106;
113;false;false;0;0;114;0;0;0;3693894;0;306106;
73;false;false;0;0;74;0;0;0;3693894;0;306106;
107;false;false;0;0;108;0;0;0;3693894;0;306106;
77;false;false;0;0;78;0;0;0;3693894;0;306106;
82;false;false;0;0;83;0;0;0;3693894;0;306106;
74;false;false;0;0;75;0;0;0;3693894;0;306106;
29;false;false;0;0;30;0;0;0;3693894;0;306106;
9;false;false;0;0;10;0;0;0;3693894;0;306106;
76;false;false;0;0;77;0;0;0;3693894;0;306106;
72;false;false;0;0;73;0;0;0;3693894;0;306106;
32;false;false;0;0;33;0;0;0;3693894;0;306106;
79;false;false;0;0;80;0;0;0;3693894;0;306106;
117;false;false;0;0;118;0;0;0;3693894;0;306106;
28;false;false;0;0;29;0;0;0;3693894;0;306106;
88;false;false;0;0;89;0;0;0;3693894;0;306106;
83;false;false;0;0;84;0;0;0;3693894;0;306106;
63;false;false;0;0;64;0;0;0;3693894;0;306106;
95;false;false;0;0;96;0;0;0;3693894;0;306106;
54;false;false;0;0;55;0;0;0;3693894;0;306106;
