index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
0;false;false;0;0;1;0;0;0;3693894;0;306106;
1000;false;false;6;16;973;12;0;51810;3599185;94709;254296;
2000;false;false;10;32;1921;48;0;86350;3538667;155227;219756;
7000;false;false;16;524;5964;513;0;128494;3469128;224766;177612;
3000;false;false;13;59;2871;71;0;107508;3489445;204449;198598;
6000;false;false;16;444;5109;448;0;128494;3469128;224766;177612;
5000;false;false;15;322;4361;318;0;117010;3480739;213155;189096;
4000;false;false;14;192;3613;196;0;112222;3485079;208815;193884;
8000;false;false;19;591;6633;777;0;142580;3425486;268408;163526;
12000;false;false;25;1192;8550;2259;0;159491;3374002;319892;146615;
9000;false;false;21;726;7203;1072;0;147630;3412990;280904;158476;
10000;false;false;23;861;7700;1440;0;155319;3387670;306224;150787;
15000;false;false;26;1758;10079;3164;0;162472;3367928;325966;143634;
13000;false;false;25;1319;9177;2505;0;159491;3374002;319892;146615;
14000;false;false;26;1592;9477;2932;0;162472;3367928;325966;143634;
17000;false;false;27;2054;10989;3958;0;163964;3360358;333536;142142;
11000;false;false;24;980;8262;1759;0;157811;3381382;312512;148295;
19000;false;false;28;2353;11897;4751;0;174867;3361276;332618;131239;
16000;false;false;27;1908;10377;3716;0;163964;3360358;333536;142142;
18000;false;false;28;2215;11283;4503;0;174867;3361276;332618;131239;
23000;false;false;33;3439;14399;5163;0;225116;3356299;337595;80990;
22000;false;false;32;3127;13856;5018;0;215282;3356383;337511;90824;
25000;false;false;36;4208;15319;5474;0;244436;3354631;339263;61670;
21000;false;false;30;2753;13386;4862;0;194184;3356752;337142;111922;
20000;false;false;30;2662;12493;4846;0;194229;3361168;332726;111877;
26000;false;false;36;4369;16014;5618;0;244424;3355001;338893;61682;
24000;false;false;33;3735;15055;5211;0;225505;3351993;341901;80601;
27000;false;false;37;4735;16526;5740;0;253975;3354557;339337;52131;
30000;false;false;39;5694;18221;6086;0;285363;3338313;355581;20743;
32000;false;false;41;6124;19481;6396;0;285575;3329065;364829;20531;
29000;false;false;37;5288;17768;5945;0;266094;3338043;355851;40012;
28000;false;false;37;4993;17072;5936;0;266094;3338043;355851;40012;
35000;false;false;43;6334;21933;6734;0;297792;3309345;384549;8314;
33000;false;false;42;6132;20439;6430;0;297754;3310045;383849;8352;
37000;false;false;43;6598;23245;7158;0;297792;3309345;384549;8314;
31000;false;false;40;5793;18952;6256;0;285519;3331183;362711;20587;
34000;false;false;43;6215;21206;6580;0;297792;3309345;384549;8314;
39000;false;false;43;6677;24986;7338;0;297792;3309345;384549;8314;
36000;false;false;43;6481;22542;6978;0;297792;3309345;384549;8314;
38000;false;false;43;6658;24057;7286;0;297792;3309345;384549;8314;
42000;false;false;42;6720;27687;7594;0;299512;3309003;384891;6594;
44000;false;false;42;6741;29401;7859;0;301332;3298401;395493;4774;
43000;false;false;42;6730;28447;7824;0;301334;3293761;400133;4772;
40000;false;false;42;6694;25771;7536;0;299506;3304331;389563;6600;
41000;false;false;42;6710;26724;7567;0;299506;3304331;389563;6600;
48000;false;false;42;6813;33173;8015;0;301332;3298401;395493;4774;
45000;false;false;42;6752;30368;7881;0;301332;3298401;395493;4774;
46000;false;false;42;6766;31313;7922;0;301332;3298401;395493;4774;
47000;false;false;42;6790;32249;7962;0;301332;3298401;395493;4774;
51000;false;false;43;6864;36015;8122;0;300944;3297949;395945;5162;
57000;false;false;42;6976;41705;8320;0;301334;3293761;400133;4772;
