index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
2000;false;false;7;32;1963;6;0;98105;3667530;26364;208001;
0;false;false;0;0;1;0;0;0;3693894;0;306106;
1000;false;false;5;16;983;2;0;71644;3659004;34890;234462;
3000;false;false;9;59;2933;9;0;115954;3654934;38960;190152;
5000;false;false;11;322;4423;256;0;125455;3646228;47666;180651;
4000;false;false;10;192;3675;134;0;120668;3650568;43326;185438;
7000;false;false;11;524;6026;451;0;137143;3634318;59576;168963;
6000;false;false;11;444;5171;386;0;137143;3634318;59576;168963;
8000;false;false;14;591;6905;505;0;166362;3622383;71511;139744;
9000;false;false;14;726;7769;506;0;166352;3604449;89445;139754;
10000;false;false;15;861;8558;582;0;178474;3601263;92631;127632;
12000;false;false;15;1192;10186;623;0;178490;3619197;74697;127616;
11000;false;false;15;980;9439;582;0;178474;3601263;92631;127632;
13000;false;false;15;1319;11058;624;0;178490;3619197;74697;127616;
14000;false;false;15;1592;11701;708;0;181450;3616369;77525;124656;
15000;false;false;15;1758;12535;708;0;181450;3616369;77525;124656;
16000;false;false;15;1908;13335;758;0;191158;3604973;88921;114948;
17000;false;false;15;2054;14185;762;0;191158;3604973;88921;114948;
20000;false;false;17;2662;16489;850;0;210612;3605177;88717;95494;
18000;false;false;15;2215;14947;839;0;191158;3604973;88921;114948;
19000;false;false;15;2353;15808;840;0;191158;3604973;88921;114948;
24000;false;false;19;3735;19398;868;0;230536;3612229;81665;75570;
21000;false;false;17;2753;17396;852;0;210609;3600151;93743;95497;
22000;false;false;18;3127;18016;858;0;220602;3612251;81643;85504;
23000;false;false;19;3439;18698;864;0;230536;3612229;81665;75570;
25000;false;false;21;4208;19911;882;0;250008;3612131;81763;56098;
26000;false;false;21;4369;20746;886;0;250008;3612131;81763;56098;
29000;false;false;23;5288;22811;902;0;269522;3612035;81859;36584;
28000;false;false;23;4993;22110;898;0;269522;3612035;81859;36584;
27000;false;false;22;4735;21376;890;0;259554;3612055;81839;46552;
32000;false;false;26;6124;24955;922;0;301379;3611929;81965;4727;
30000;false;false;26;5694;23397;910;0;301379;3611929;81965;4727;
31000;false;false;26;5793;24290;918;0;301379;3611929;81965;4727;
35000;false;false;26;6334;27735;932;0;301379;3611929;81965;4727;
33000;false;false;26;6132;25943;926;0;301379;3611929;81965;4727;
38000;false;false;26;6658;30395;948;0;301379;3611929;81965;4727;
36000;false;false;26;6481;28588;932;0;301379;3611929;81965;4727;
39000;false;false;26;6677;31366;958;0;301377;3616971;76923;4729;
37000;false;false;26;6598;29459;944;0;301379;3611929;81965;4727;
34000;false;false;26;6215;26860;926;0;301379;3611929;81965;4727;
40000;false;false;26;6694;32343;964;0;301377;3616971;76923;4729;
41000;false;false;26;6710;33323;968;0;301377;3616971;76923;4729;
43000;false;false;26;6730;35297;974;0;301377;3616971;76923;4729;
42000;false;false;26;6720;34309;972;0;301377;3616971;76923;4729;
44000;false;false;26;6741;36281;979;0;301377;3616971;76923;4729;
47000;false;false;26;6790;39223;988;0;301377;3616971;76923;4729;
