index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
20;false;false;0;0;21;0;0;0;3693894;0;306106;
6;false;false;0;0;7;0;0;0;3693894;0;306106;
34;false;false;0;0;35;0;0;0;3693894;0;306106;
98;false;false;0;0;99;0;0;0;3693894;0;306106;
53;false;false;0;0;54;0;0;0;3693894;0;306106;
40;false;false;0;0;41;0;0;0;3693894;0;306106;
30;false;false;0;0;31;0;0;0;3693894;0;306106;
73;false;false;0;0;74;0;0;0;3693894;0;306106;
91;false;false;0;0;92;0;0;0;3693894;0;306106;
45;false;false;0;0;46;0;0;0;3693894;0;306106;
76;false;false;0;0;77;0;0;0;3693894;0;306106;
3;false;false;0;0;4;0;0;0;3693894;0;306106;
85;false;false;0;0;86;0;0;0;3693894;0;306106;
16;false;false;0;0;17;0;0;0;3693894;0;306106;
55;false;false;0;0;56;0;0;0;3693894;0;306106;
100;false;false;0;0;101;0;0;0;3693894;0;306106;
31;false;false;0;0;32;0;0;0;3693894;0;306106;
75;false;false;0;0;76;0;0;0;3693894;0;306106;
42;false;false;0;0;43;0;0;0;3693894;0;306106;
22;false;false;0;0;23;0;0;0;3693894;0;306106;
106;false;false;0;0;107;0;0;0;3693894;0;306106;
61;false;false;0;0;62;0;0;0;3693894;0;306106;
18;false;false;0;0;19;0;0;0;3693894;0;306106;
0;false;false;0;0;1;0;0;0;3693894;0;306106;
24;false;false;0;0;25;0;0;0;3693894;0;306106;
68;false;false;0;0;69;0;0;0;3693894;0;306106;
90;false;false;0;0;91;0;0;0;3693894;0;306106;
43;false;false;0;0;44;0;0;0;3693894;0;306106;
67;false;false;0;0;68;0;0;0;3693894;0;306106;
9;false;false;0;0;10;0;0;0;3693894;0;306106;
81;false;false;0;0;82;0;0;0;3693894;0;306106;
83;false;false;0;0;84;0;0;0;3693894;0;306106;
27;false;false;0;0;28;0;0;0;3693894;0;306106;
59;false;false;0;0;60;0;0;0;3693894;0;306106;
5;false;false;0;0;6;0;0;0;3693894;0;306106;
7;false;false;0;0;8;0;0;0;3693894;0;306106;
15;false;false;0;0;16;0;0;0;3693894;0;306106;
92;false;false;0;0;93;0;0;0;3693894;0;306106;
113;false;false;0;0;114;0;0;0;3693894;0;306106;
47;false;false;0;0;48;0;0;0;3693894;0;306106;
62;false;false;0;0;63;0;0;0;3693894;0;306106;
78;false;false;0;0;79;0;0;0;3693894;0;306106;
11;false;false;0;0;12;0;0;0;3693894;0;306106;
118;false;false;0;0;119;0;0;0;3693894;0;306106;
4;false;false;0;0;5;0;0;0;3693894;0;306106;
72;false;false;0;0;73;0;0;0;3693894;0;306106;
64;false;false;0;0;65;0;0;0;3693894;0;306106;
89;false;false;0;0;90;0;0;0;3693894;0;306106;
14;false;false;0;0;15;0;0;0;3693894;0;306106;
86;false;false;0;0;87;0;0;0;3693894;0;306106;
115;false;false;0;0;116;0;0;0;3693894;0;306106;
95;false;false;0;0;96;0;0;0;3693894;0;306106;
79;false;false;0;0;80;0;0;0;3693894;0;306106;
110;false;false;0;0;111;0;0;0;3693894;0;306106;
96;false;false;0;0;97;0;0;0;3693894;0;306106;
10;false;false;0;0;11;0;0;0;3693894;0;306106;
13;false;false;0;0;14;0;0;0;3693894;0;306106;
54;false;false;0;0;55;0;0;0;3693894;0;306106;
57;false;false;0;0;58;0;0;0;3693894;0;306106;
52;false;false;0;0;53;0;0;0;3693894;0;306106;
44;false;false;0;0;45;0;0;0;3693894;0;306106;
94;false;false;0;0;95;0;0;0;3693894;0;306106;
70;false;false;0;0;71;0;0;0;3693894;0;306106;
39;false;false;0;0;40;0;0;0;3693894;0;306106;
105;false;false;0;0;106;0;0;0;3693894;0;306106;
33;false;false;0;0;34;0;0;0;3693894;0;306106;
104;false;false;0;0;105;0;0;0;3693894;0;306106;
48;false;false;0;0;49;0;0;0;3693894;0;306106;
41;false;false;0;0;42;0;0;0;3693894;0;306106;
51;false;false;0;0;52;0;0;0;3693894;0;306106;
