name,traningTotal,evalTotal,trueNegative,falseNegative,truePositive,falsePositive,precision,sensitivity,accuracy
demo,3000,3000,2548,1,254,197,0.5631929046563193,0.996078431372549,0.934
small,20000,100000,90222,69,8003,1705,0.8243806973270845,0.991391056608448,0.982255
compare-s-lf,20000,100000,90250,70,8004,1676,0.8268595041322314,0.9913301956898687,0.98254
compare-d-l,3000,2000000,1804251,11282,141771,42695,0.7685460503668687,0.9262869724866549,0.97301125
compare-s-l,20000,2000000,1808485,2364,150688,38461,0.7966613798572562,0.9845511032126126,0.979587
large,100000,2000000,1787798,113,152939,59148,0.7211134057561013,0.9992584268194677,0.970369
compare-ibma-l,345,2000000,621648,32,153021,1225299,0.11101993731499217,0.9997909220988808,0.3873345
cva6-demo,10,19,18,1,0,0,NaN,0.0,0.9473684210526315
cva6-demo-fast,167,240,236,1,2,1,0.6666666666666666,0.6666666666666666,0.9916666666666667
cva6-demo-fast,199,276,272,1,2,1,0.6666666666666666,0.6666666666666666,0.9927536231884058
cva6-demo-fast,220,324,312,4,5,3,0.625,0.5555555555555556,0.9783950617283951
cva6-demo-2,4839,324,312,0,9,3,0.75,1.0,0.9907407407407407
cva6-demo-2,4888,324,312,0,9,3,0.75,1.0,0.9907407407407407
cva6-demo-2,4951,324,312,0,9,3,0.75,1.0,0.9907407407407407
cva6-demo-2,177,324,313,6,3,2,0.6,0.3333333333333333,0.9753086419753086
cva6-demo-2,200,324,313,6,3,2,0.6,0.3333333333333333,0.9753086419753086
cva6-medium-2,19997,0,0,0,0,0,NaN,NaN,NaN
cva6-medium-2,19997,0,0,0,0,0,NaN,NaN,NaN
cva6-medium-2,19997,99979,85129,200,6145,8504,0.4194682412369023,0.9684791174152876,0.9129367167105092
6k-9k,6000,10000,8404,137,1164,294,0.798423037367158,0.8943932411674347,0.95685
50k-75k,50000,75000,66258,69,7500,1172,0.8648601902565581,0.9908190224570673,0.9834466666666667
stat,100000,2000000,1384334,79,152973,462613,0.2485004138329869,0.9994805720894069,0.76865375
stat,100000,2000000,1384334,79,152973,462613,0.2485004138329869,0.9994805720894069,0.76865375
